name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wolverhampton,2019-01-02,3.8,-1.6,1.4,3.7,-1.7,1.1,-1,84.67,0.2,,4.17,,,,,8,171,1044.4,69.4,20.5,43.9,1.3,1,,2019-01-02T08:19:36,2019-01-02T16:05:24,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-03,2.9,0,1.9,2.9,0,1.8,-2.3,73.72,0,,0,,,,,5.7,187.1,1043.8,97.4,19.8,57.3,1.6,1,,2019-01-03T08:19:24,2019-01-03T16:06:33,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-04,2.1,-3.3,0.1,0.5,-3.4,-1.1,-2,85.8,0,,0,,,,,9.7,264.5,1042.8,74.6,9.6,54.6,1.6,1,,2019-01-04T08:19:09,2019-01-04T16:07:44,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-05,5.5,1.8,3.7,4,-0.9,2,1.5,85.13,0,,0,,,,35.3,9.2,259.3,1039,99.3,15.7,25.9,0.7,0,,2019-01-05T08:18:50,2019-01-05T16:08:58,1,Overcast,Cloudy skies throughout the day.,cloudy,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-06,9.3,4.8,7,8.3,3.4,6.1,4.9,86.73,0.2,,4.17,,,,,10.6,265.4,1037,93.9,17.5,46.1,1.3,1,,2019-01-06T08:18:27,2019-01-06T16:10:15,0,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-07,11,6.8,8.7,11,4.4,7,6.3,84.98,1.3,,4.17,,,,58.1,23.5,245,1031.2,73,28.3,28,0.8,1,,2019-01-07T08:18:01,2019-01-07T16:11:34,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-08,7.8,3.3,6.1,4.6,0.6,3,2.7,78.72,0,,0,,,,51.8,22.8,307.9,1029.5,39.9,18.2,91.3,2.6,2,,2019-01-08T08:17:32,2019-01-08T16:12:56,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-09,4.3,-0.7,1.8,0.8,-3.1,-1,-0.5,85.02,0,,0,,,,,17,306.5,1031.9,35.5,25.7,75.9,2.2,2,,2019-01-09T08:16:59,2019-01-09T16:14:20,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-10,7,-1.2,3.2,5.1,-2.9,1.8,1.9,91.02,0.54,,8.33,,,,,11.4,296.5,1031.6,82.8,14.8,29.3,0.8,1,,2019-01-10T08:16:23,2019-01-10T16:15:46,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
wolverhampton,2019-01-11,7.3,4.9,6.4,5.5,3.5,4.6,4.4,87.22,1,,12.5,,,,,11.3,298.6,1031,86.2,25.9,40.8,1.2,1,,2019-01-11T08:15:44,2019-01-11T16:17:14,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03414099999,03529099999,E8801,03520099999,03330099999,03535099999,03544099999"
